ID_Transaction,ID_Client,Date,Nature,Montant,Canal,Agence
900062,1269,2025-06-01,Crédit,583255,GAB,Yopougon
900063,1166,2025-06-01,Crédit,677036,Mobile,Plateau
900064,1050,2025-06-01,Débit,50903,GAB,Cocody
900065,1017,2025-06-01,Débit,117255,Web,Cocody
900066,1051,2025-06-01,Débit,603749,Web,Bouaké
900067,1270,2025-06-01,Crédit,56470,Mobile,Cocody
900068,1037,2025-06-01,Débit,223877,Web,Plateau
900069,1240,2025-06-01,Débit,383458,Web,Yopougon
900070,1030,2025-06-01,Crédit,559718,Agence,Plateau
900071,1156,2025-06-01,Débit,231387,Agence,Plateau
900072,1119,2025-06-01,Crédit,203663,GAB,Cocody
900073,1292,2025-06-01,Débit,590549,Web,Plateau
900074,1296,2025-06-01,Crédit,712256,Web,Bouaké
900075,1054,2025-06-01,Débit,194159,Web,Yopougon
900076,1081,2025-06-01,Crédit,374438,Mobile,Yopougon
900077,1191,2025-06-01,Crédit,669001,Web,Yopougon
900078,1124,2025-06-01,Débit,398282,Mobile,Yopougon
900079,1232,2025-06-01,Crédit,421379,Agence,Plateau
900080,1146,2025-06-01,Débit,547752,GAB,Yopougon
900081,1004,2025-06-01,Crédit,237665,GAB,Yopougon
900082,1012,2025-06-01,Crédit,585557,GAB,Plateau
900083,1020,2025-06-01,Crédit,377932,GAB,Cocody
900084,1136,2025-06-01,Crédit,615434,GAB,Cocody
900085,1132,2025-06-01,Crédit,101369,Web,Cocody
900086,1040,2025-06-01,Crédit,510972,GAB,Bouaké
900087,1296,2025-06-01,Débit,629145,Mobile,Plateau
900088,1296,2025-06-01,Crédit,87289,Agence,Yopougon
900089,1179,2025-06-01,Crédit,441754,Agence,Cocody
900090,1006,2025-06-01,Crédit,61757,Mobile,Plateau
900091,1164,2025-06-01,Débit,347707,GAB,Cocody
900092,1026,2025-06-01,Crédit,472262,Agence,Cocody
900093,1222,2025-06-01,Crédit,418477,GAB,Cocody
900094,1173,2025-06-01,Débit,503969,Agence,Bouaké
900095,1135,2025-06-01,Débit,422885,Web,Cocody
900096,1070,2025-06-01,Crédit,591464,GAB,Bouaké
900097,1203,2025-06-01,Débit,593426,GAB,Cocody
900098,1037,2025-06-01,Crédit,455956,Mobile,Plateau
900099,1058,2025-06-01,Crédit,449114,Mobile,Yopougon
900100,1098,2025-06-01,Crédit,366260,Agence,Yopougon
900101,1087,2025-06-01,Crédit,651154,Web,Cocody
900102,1226,2025-06-01,Débit,249831,GAB,Yopougon
900103,1080,2025-06-01,Débit,122830,Agence,Cocody
900104,1076,2025-06-01,Crédit,19400,Mobile,Plateau
900105,1157,2025-06-01,Crédit,499078,Agence,Yopougon
900106,1108,2025-06-01,Débit,218701,Mobile,Bouaké
900107,1073,2025-06-01,Débit,399900,Agence,Yopougon
900108,1088,2025-06-01,Débit,302809,GAB,Yopougon
900109,1028,2025-06-01,Crédit,691563,Agence,Plateau
900110,1199,2025-06-01,Crédit,700186,Mobile,Plateau
900111,1010,2025-06-01,Crédit,685956,Web,Cocody
900112,1195,2025-06-01,Débit,335779,Web,Plateau
900113,1096,2025-06-01,Débit,529970,Web,Plateau
900114,1021,2025-06-01,Débit,560132,Mobile,Yopougon
900115,1251,2025-06-01,Crédit,785550,GAB,Plateau
900116,1178,2025-06-01,Crédit,377640,Mobile,Cocody
900117,1257,2025-06-01,Crédit,70021,Mobile,Bouaké
900118,1016,2025-06-01,Crédit,241540,GAB,Yopougon
900119,1202,2025-06-01,Débit,97059,Web,Cocody
900120,1214,2025-06-01,Débit,605727,GAB,Bouaké
900121,1160,2025-06-01,Crédit,475988,GAB,Cocody
900122,1071,2025-06-01,Débit,149818,Mobile,Cocody
900123,1221,2025-06-01,Débit,693108,GAB,Yopougon
900124,1035,2025-06-01,Débit,198079,Mobile,Cocody
900125,1016,2025-06-01,Crédit,439152,Web,Yopougon
900126,1227,2025-06-01,Crédit,164338,GAB,Plateau
900127,1068,2025-06-01,Débit,32470,Mobile,Cocody
900128,1119,2025-06-01,Débit,725767,Agence,Yopougon
900129,1041,2025-06-01,Crédit,145600,Web,Yopougon
900130,1095,2025-06-01,Crédit,520318,Web,Cocody
900131,1084,2025-06-01,Débit,242264,Agence,Bouaké
900132,1008,2025-06-01,Crédit,438108,GAB,Cocody
900133,1105,2025-06-01,Débit,190679,Web,Bouaké
900134,1167,2025-06-01,Crédit,263771,Web,Bouaké
900135,1022,2025-06-01,Crédit,760185,Mobile,Bouaké
900136,1293,2025-06-01,Débit,550940,Agence,Bouaké
900137,1234,2025-06-01,Débit,262657,Web,Plateau
900138,1286,2025-06-01,Crédit,546198,Agence,Cocody
900139,1150,2025-06-01,Crédit,422375,Mobile,Yopougon
900140,1237,2025-06-01,Débit,447983,Mobile,Plateau
900141,1265,2025-06-01,Débit,491097,Web,Plateau
900142,1257,2025-06-01,Débit,193503,GAB,Bouaké
900143,1212,2025-06-01,Crédit,477788,Agence,Cocody
900144,1233,2025-06-01,Débit,481769,Agence,Yopougon
900145,1166,2025-06-01,Débit,758270,Agence,Plateau
900146,1059,2025-06-01,Crédit,669873,Mobile,Plateau
900147,1269,2025-06-01,Crédit,767182,GAB,Bouaké
900148,1282,2025-06-01,Crédit,51038,GAB,Yopougon
900149,1290,2025-06-01,Débit,174999,GAB,Cocody
900150,1027,2025-06-01,Crédit,328026,Mobile,Bouaké
900151,1148,2025-06-01,Débit,128264,GAB,Cocody
900152,1002,2025-06-01,Crédit,17800,Web,Bouaké
900153,1256,2025-06-01,Débit,642517,Web,Cocody
900154,1112,2025-06-01,Crédit,480779,Web,Bouaké
900155,1041,2025-06-01,Débit,261600,Mobile,Cocody
900156,1026,2025-06-01,Débit,160457,Agence,Yopougon
900157,1019,2025-06-01,Débit,39007,Mobile,Yopougon
900158,1045,2025-06-01,Débit,119176,Web,Cocody
900159,1083,2025-06-01,Crédit,645774,GAB,Bouaké
900160,1297,2025-06-01,Crédit,42581,Agence,Yopougon
900161,1166,2025-06-01,Crédit,402346,Agence,Bouaké
900162,1282,2025-06-01,Débit,312057,Web,Cocody
900163,1063,2025-06-01,Crédit,350200,Web,Cocody
900164,1108,2025-06-01,Débit,119611,Agence,Bouaké
900165,1148,2025-06-01,Crédit,643419,Mobile,Yopougon
900166,1270,2025-06-01,Crédit,141014,Web,Bouaké
900167,1253,2025-06-01,Débit,644008,GAB,Yopougon
900168,1100,2025-06-01,Débit,128949,Agence,Bouaké
900169,1061,2025-06-01,Débit,650197,Web,Bouaké
900170,1024,2025-06-01,Crédit,371634,GAB,Plateau
900171,1104,2025-06-01,Crédit,271776,Agence,Yopougon
900172,1154,2025-06-01,Crédit,11429,Agence,Yopougon
900173,1175,2025-06-01,Crédit,764584,Agence,Cocody
900174,1100,2025-06-01,Crédit,359352,Web,Bouaké
900175,1019,2025-06-01,Débit,509884,GAB,Bouaké
900176,1275,2025-06-01,Crédit,489935,Web,Plateau
900177,1267,2025-06-01,Crédit,597385,Mobile,Plateau
900178,1107,2025-06-01,Crédit,375771,Agence,Cocody
900179,1144,2025-06-01,Débit,360627,Web,Cocody
900180,1293,2025-06-01,Crédit,201481,Agence,Yopougon
900181,1162,2025-06-01,Débit,289685,Web,Plateau
900182,1255,2025-06-01,Débit,394633,Web,Yopougon
900183,1111,2025-06-01,Crédit,188514,Agence,Yopougon
900184,1020,2025-06-01,Débit,102102,Web,Plateau
900185,1248,2025-06-01,Débit,204451,Mobile,Bouaké
900186,1269,2025-06-01,Crédit,348238,GAB,Plateau
900187,1265,2025-06-01,Débit,220154,Agence,Bouaké
900188,1199,2025-06-01,Débit,9309,Mobile,Plateau
900189,1045,2025-06-01,Crédit,494554,Agence,Plateau
900190,1267,2025-06-01,Crédit,28572,Mobile,Cocody
900191,1165,2025-06-01,Débit,206898,Mobile,Yopougon
900192,1273,2025-06-01,Crédit,467543,Agence,Yopougon
900193,1077,2025-06-01,Débit,291929,Agence,Plateau
900194,1287,2025-06-01,Débit,221612,Mobile,Yopougon
900195,1139,2025-06-01,Débit,743568,Mobile,Cocody
900196,1088,2025-06-01,Débit,331503,Mobile,Bouaké
900197,1026,2025-06-01,Débit,35401,Web,Plateau
900198,1055,2025-06-01,Crédit,61413,Agence,Bouaké
900199,1201,2025-06-01,Débit,743908,Web,Yopougon
900200,1160,2025-06-01,Crédit,212772,Agence,Bouaké
900201,1291,2025-06-01,Débit,102429,Web,Plateau
900202,1234,2025-06-01,Crédit,722727,Web,Bouaké
900203,1119,2025-06-01,Débit,155703,Mobile,Yopougon
900204,1201,2025-06-01,Débit,738599,Mobile,Yopougon
900205,1233,2025-06-01,Crédit,36734,Agence,Bouaké
900206,1058,2025-06-01,Crédit,506903,Web,Cocody
900207,1145,2025-06-01,Crédit,638801,GAB,Plateau
900208,1208,2025-06-01,Débit,346699,Agence,Yopougon
900209,1273,2025-06-01,Crédit,425286,Web,Cocody
900210,1125,2025-06-01,Débit,510806,Web,Plateau
900211,1175,2025-06-01,Débit,732774,Web,Bouaké
900212,1291,2025-06-01,Crédit,575977,GAB,Cocody
900213,1040,2025-06-01,Crédit,124876,Web,Yopougon
900214,1285,2025-06-01,Débit,471843,GAB,Yopougon
900215,1208,2025-06-01,Débit,632320,Agence,Bouaké
900216,1168,2025-06-01,Crédit,681320,Agence,Plateau
900217,1112,2025-06-01,Débit,613979,Agence,Cocody
900218,1077,2025-06-01,Crédit,562062,Mobile,Bouaké
900219,1296,2025-06-01,Crédit,210171,GAB,Yopougon
900220,1154,2025-06-01,Crédit,460844,Mobile,Plateau
900221,1299,2025-06-01,Débit,646194,Web,Cocody
900222,1151,2025-06-01,Débit,392158,Agence,Plateau
900223,1287,2025-06-01,Crédit,120027,Mobile,Plateau
900224,1121,2025-06-01,Crédit,741333,Web,Yopougon
900225,1196,2025-06-01,Crédit,405099,Web,Cocody
900226,1089,2025-06-01,Crédit,150824,GAB,Bouaké
900227,1185,2025-06-01,Crédit,166760,Mobile,Cocody
900228,1069,2025-06-01,Débit,80231,Agence,Cocody
900229,1250,2025-06-01,Crédit,147371,Agence,Cocody
900230,1213,2025-06-01,Crédit,734169,Web,Cocody
900231,1233,2025-06-01,Crédit,583866,Web,Bouaké
900232,1182,2025-06-01,Débit,199816,Web,Plateau
900233,1296,2025-06-01,Crédit,771418,GAB,Yopougon
900234,1211,2025-06-01,Crédit,40087,Agence,Bouaké
900235,1189,2025-06-01,Débit,613455,Web,Plateau
900236,1073,2025-06-01,Crédit,492521,Agence,Plateau
900237,1126,2025-06-01,Crédit,666297,Agence,Yopougon
900238,1028,2025-06-01,Crédit,566023,Agence,Bouaké
900239,1233,2025-06-01,Crédit,606846,Mobile,Bouaké
900240,1181,2025-06-01,Crédit,308257,GAB,Plateau
900241,1156,2025-06-01,Crédit,69401,Web,Cocody
900242,1294,2025-06-01,Débit,693201,Mobile,Plateau
900243,1147,2025-06-01,Crédit,91518,GAB,Plateau
900244,1143,2025-06-01,Crédit,143976,Mobile,Yopougon
900245,1132,2025-06-01,Débit,782444,Agence,Cocody
900246,1078,2025-06-01,Crédit,392728,GAB,Yopougon
900247,1121,2025-06-01,Crédit,194592,Agence,Yopougon
900248,1044,2025-06-01,Débit,629473,GAB,Bouaké
900249,1212,2025-06-01,Crédit,254505,Web,Cocody
900250,1108,2025-06-01,Crédit,61964,Mobile,Plateau
900251,1027,2025-06-01,Débit,491554,Web,Bouaké
900252,1155,2025-06-01,Crédit,787395,GAB,Bouaké
900253,1200,2025-06-01,Crédit,280382,GAB,Bouaké
900254,1007,2025-06-01,Crédit,475622,Web,Yopougon
900255,1272,2025-06-01,Débit,107093,Mobile,Bouaké
900256,1140,2025-06-01,Crédit,288457,Mobile,Plateau
900257,1131,2025-06-01,Crédit,488507,GAB,Cocody
900258,1267,2025-06-01,Crédit,715638,GAB,Yopougon
900259,1281,2025-06-01,Débit,710483,Agence,Plateau
900260,1007,2025-06-01,Crédit,107444,Agence,Bouaké
900261,1180,2025-06-01,Débit,765480,Mobile,Yopougon
900262,1099,2025-06-01,Débit,29851,Agence,Plateau
900263,1112,2025-06-01,Débit,747470,Agence,Plateau
900264,1067,2025-06-01,Crédit,693279,GAB,Plateau
900265,1095,2025-06-01,Crédit,313877,Web,Plateau
900266,1233,2025-06-01,Crédit,452724,Mobile,Yopougon
900267,1083,2025-06-01,Débit,295756,Agence,Bouaké
900268,1199,2025-06-01,Crédit,67976,Mobile,Yopougon
900269,1092,2025-06-01,Crédit,77769,Web,Cocody
900270,1202,2025-06-01,Débit,681838,Web,Plateau
900271,1074,2025-06-01,Crédit,233994,Agence,Bouaké
900272,1133,2025-06-01,Débit,41554,Agence,Plateau
900273,1293,2025-06-01,Crédit,472541,Agence,Bouaké
900274,1077,2025-06-01,Débit,44673,Web,Yopougon
900275,1078,2025-06-01,Crédit,415339,Agence,Bouaké
900276,1245,2025-06-01,Crédit,428533,Agence,Cocody
900277,1002,2025-06-01,Crédit,727742,Web,Plateau
900278,1291,2025-06-01,Crédit,354636,Mobile,Bouaké
900279,1029,2025-06-01,Débit,388102,Mobile,Plateau
900280,1236,2025-06-01,Crédit,684259,GAB,Cocody
900281,1284,2025-06-01,Débit,407824,GAB,Yopougon
900282,1200,2025-06-01,Débit,666249,Mobile,Bouaké
900283,1044,2025-06-01,Crédit,776043,GAB,Cocody
900284,1019,2025-06-01,Débit,31596,GAB,Bouaké
900285,1200,2025-06-01,Débit,571809,Mobile,Bouaké
900286,1274,2025-06-01,Crédit,22215,Agence,Yopougon
900287,1029,2025-06-01,Crédit,761035,Agence,Bouaké
900288,1061,2025-06-01,Débit,690611,Web,Cocody
900289,1297,2025-06-01,Débit,80532,Agence,Cocody
900290,1251,2025-06-01,Débit,499109,Agence,Cocody
900291,1067,2025-06-01,Débit,185616,Agence,Yopougon
900292,1050,2025-06-01,Crédit,645916,GAB,Plateau
900293,1055,2025-06-01,Débit,526292,GAB,Plateau
900294,1104,2025-06-01,Crédit,358729,Web,Yopougon
900295,1062,2025-06-01,Débit,342211,GAB,Plateau
900296,1089,2025-06-01,Crédit,71292,Agence,Yopougon
900297,1073,2025-06-01,Crédit,181214,Mobile,Cocody
900298,1225,2025-06-01,Débit,615256,Agence,Cocody
900299,1052,2025-06-01,Crédit,170416,Agence,Bouaké
900300,1042,2025-06-01,Débit,12574,GAB,Plateau
900301,1146,2025-06-01,Crédit,732191,Web,Cocody
900302,1106,2025-06-01,Débit,675905,Mobile,Bouaké
900303,1211,2025-06-01,Débit,188027,Agence,Cocody
900304,1256,2025-06-01,Débit,662658,Mobile,Yopougon
900305,1215,2025-06-01,Débit,589801,GAB,Cocody
900306,1061,2025-06-01,Débit,653985,Mobile,Cocody
900307,1238,2025-06-01,Débit,294854,Agence,Cocody
900308,1058,2025-06-01,Débit,723530,Web,Bouaké
900309,1091,2025-06-01,Débit,707695,Agence,Plateau
900310,1187,2025-06-01,Crédit,224770,Web,Yopougon
900311,1172,2025-06-01,Crédit,50421,Agence,Plateau
900312,1276,2025-06-01,Débit,170722,Agence,Bouaké
900313,1264,2025-06-01,Débit,79301,GAB,Bouaké
900314,1297,2025-06-01,Crédit,444422,GAB,Yopougon
900315,1118,2025-06-01,Débit,346974,GAB,Plateau
900316,1122,2025-06-01,Crédit,214668,Web,Cocody
900317,1038,2025-06-01,Crédit,618513,Web,Plateau
900318,1224,2025-06-01,Débit,231665,Web,Cocody
900319,1199,2025-06-01,Crédit,148030,Web,Cocody
900320,1184,2025-06-01,Crédit,217033,Mobile,Cocody
900321,1017,2025-06-01,Débit,299234,GAB,Plateau
900322,1239,2025-06-01,Crédit,443539,GAB,Yopougon
900323,1113,2025-06-01,Crédit,637958,GAB,Cocody
900324,1296,2025-06-01,Débit,95674,Web,Bouaké
900325,1111,2025-06-01,Crédit,490242,Mobile,Plateau
900326,1220,2025-06-01,Débit,264870,Mobile,Bouaké
900327,1297,2025-06-01,Débit,625517,GAB,Plateau
900328,1214,2025-06-01,Débit,47004,Web,Plateau
900329,1218,2025-06-01,Crédit,507550,Agence,Bouaké
900330,1254,2025-06-01,Débit,92127,Agence,Bouaké
900331,1112,2025-06-01,Débit,380815,Mobile,Cocody
900332,1047,2025-06-01,Débit,508088,Mobile,Cocody
900333,1236,2025-06-01,Débit,481935,Web,Cocody
900334,1208,2025-06-01,Débit,393414,Web,Plateau
900335,1037,2025-06-01,Crédit,729304,Mobile,Plateau
900336,1152,2025-06-01,Crédit,794460,Mobile,Cocody
900337,1042,2025-06-01,Crédit,776501,Agence,Yopougon
900338,1027,2025-06-01,Débit,406557,Mobile,Bouaké
900339,1021,2025-06-01,Crédit,389232,GAB,Plateau
900340,1288,2025-06-01,Débit,150129,Mobile,Cocody
900341,1277,2025-06-01,Débit,685566,Web,Cocody
900342,1116,2025-06-01,Crédit,374844,Mobile,Bouaké
900343,1142,2025-06-01,Débit,71447,Mobile,Yopougon
900344,1232,2025-06-01,Crédit,530808,Agence,Bouaké
900345,1273,2025-06-01,Crédit,478933,Mobile,Plateau
900346,1097,2025-06-01,Crédit,96549,Agence,Bouaké
900347,1092,2025-06-01,Crédit,85685,Agence,Cocody
900348,1142,2025-06-01,Débit,735943,GAB,Bouaké
900349,1078,2025-06-01,Débit,550980,Agence,Yopougon
900350,1214,2025-06-01,Débit,501925,Mobile,Bouaké
900351,1228,2025-06-01,Débit,310677,GAB,Plateau
900352,1012,2025-06-01,Débit,549861,Mobile,Bouaké
900353,1297,2025-06-01,Crédit,692614,Mobile,Bouaké
900354,1272,2025-06-01,Crédit,485255,Mobile,Cocody
900355,1157,2025-06-01,Débit,277637,GAB,Bouaké
900356,1191,2025-06-01,Crédit,54617,GAB,Yopougon
900357,1146,2025-06-01,Crédit,179444,GAB,Yopougon
900358,1094,2025-06-01,Débit,747508,GAB,Cocody
900359,1122,2025-06-01,Débit,48150,Mobile,Cocody
900360,1226,2025-06-01,Crédit,392629,GAB,Cocody
900361,1288,2025-06-01,Débit,702883,Mobile,Yopougon
900362,1076,2025-06-01,Crédit,475211,GAB,Yopougon
900363,1063,2025-06-01,Débit,429214,Web,Cocody
900364,1235,2025-06-01,Crédit,168633,Agence,Yopougon
900365,1152,2025-06-01,Crédit,308905,GAB,Bouaké
900366,1174,2025-06-01,Débit,772180,Web,Plateau
900367,1072,2025-06-01,Débit,328047,Agence,Bouaké
900368,1113,2025-06-01,Crédit,379754,Agence,Yopougon
900369,1029,2025-06-01,Débit,616772,GAB,Yopougon
900370,1101,2025-06-01,Débit,92649,Web,Plateau
900371,1263,2025-06-01,Crédit,208895,Web,Yopougon
900372,1262,2025-06-01,Débit,704155,Mobile,Bouaké
900373,1076,2025-06-01,Crédit,392585,Web,Yopougon
900374,1007,2025-06-01,Crédit,366675,Mobile,Yopougon
900375,1229,2025-06-01,Débit,231172,Web,Bouaké
900376,1227,2025-06-01,Crédit,176746,Web,Bouaké
900377,1072,2025-06-01,Débit,155616,GAB,Yopougon
900378,1244,2025-06-01,Crédit,74327,Web,Plateau
900379,1004,2025-06-01,Crédit,674836,Mobile,Bouaké
900380,1090,2025-06-01,Crédit,749747,GAB,Cocody
900381,1096,2025-06-01,Crédit,308524,Web,Plateau
900382,1155,2025-06-01,Crédit,523101,Web,Cocody
900383,1014,2025-06-01,Débit,166505,Mobile,Yopougon
900384,1242,2025-06-01,Débit,690572,Mobile,Bouaké
900385,1092,2025-06-01,Crédit,726255,GAB,Plateau
900386,1062,2025-06-01,Crédit,522000,Agence,Yopougon
900387,1298,2025-06-01,Crédit,598047,Web,Yopougon
900388,1244,2025-06-01,Débit,396330,Agence,Yopougon
900389,1084,2025-06-01,Débit,158235,Mobile,Bouaké
900390,1070,2025-06-01,Crédit,176241,Agence,Yopougon
900391,1185,2025-06-01,Crédit,672153,Mobile,Plateau
900392,1149,2025-06-01,Crédit,560338,Agence,Cocody
900393,1094,2025-06-01,Débit,632847,GAB,Yopougon
900394,1162,2025-06-01,Crédit,289645,Mobile,Plateau
900395,1274,2025-06-01,Crédit,155698,Agence,Cocody
900396,1266,2025-06-01,Crédit,396133,Web,Bouaké
900397,1175,2025-06-01,Débit,112392,GAB,Cocody
900398,1258,2025-06-01,Débit,202569,Agence,Bouaké
900399,1236,2025-06-01,Débit,127227,GAB,Plateau
900400,1246,2025-06-01,Crédit,331708,Mobile,Cocody
900401,1227,2025-06-01,Crédit,185572,Mobile,Plateau
900402,1061,2025-06-01,Débit,139966,GAB,Cocody
900403,1158,2025-06-01,Débit,225034,GAB,Plateau
900404,1218,2025-06-01,Débit,86511,Agence,Bouaké
900405,1221,2025-06-01,Débit,210888,Agence,Plateau
900406,1263,2025-06-01,Débit,496868,Agence,Yopougon
900407,1023,2025-06-01,Débit,321298,Agence,Plateau
900408,1064,2025-06-01,Débit,621146,GAB,Cocody
900409,1180,2025-06-01,Débit,100189,GAB,Yopougon
900410,1297,2025-06-01,Crédit,374311,GAB,Cocody
900411,1259,2025-06-01,Débit,108919,Agence,Cocody
900412,1099,2025-06-01,Crédit,185117,Agence,Plateau
900413,1110,2025-06-01,Crédit,389264,GAB,Bouaké
900414,1055,2025-06-01,Débit,377058,Web,Bouaké
900415,1110,2025-06-01,Débit,432376,Agence,Yopougon
900416,1064,2025-06-01,Crédit,120674,GAB,Bouaké
900417,1185,2025-06-01,Crédit,589195,Agence,Plateau
900418,1168,2025-06-01,Crédit,126343,Web,Yopougon
900419,1234,2025-06-01,Crédit,725420,Web,Cocody
900420,1284,2025-06-01,Crédit,309704,Web,Cocody
900421,1036,2025-06-01,Crédit,717120,Mobile,Cocody
900422,1007,2025-06-01,Crédit,709743,Agence,Bouaké
900423,1225,2025-06-01,Débit,130008,GAB,Bouaké
900424,1206,2025-06-01,Débit,782447,GAB,Plateau
900425,1187,2025-06-01,Débit,360081,GAB,Bouaké
900426,1063,2025-06-01,Débit,450334,Web,Yopougon
900427,1298,2025-06-01,Crédit,798041,Web,Yopougon
900428,1244,2025-06-01,Crédit,513069,Mobile,Cocody
900429,1233,2025-06-01,Débit,133125,Mobile,Bouaké
900430,1255,2025-06-01,Débit,663894,GAB,Plateau
900431,1051,2025-06-01,Débit,76542,Web,Plateau
900432,1092,2025-06-01,Crédit,638952,Mobile,Cocody
900433,1156,2025-06-01,Débit,85234,Web,Bouaké
900434,1104,2025-06-01,Crédit,699255,Web,Bouaké
900435,1259,2025-06-01,Crédit,573787,Mobile,Plateau
900436,1017,2025-06-01,Crédit,129921,Web,Bouaké
900437,1162,2025-06-01,Crédit,469053,Web,Plateau
900438,1017,2025-06-01,Débit,588707,Mobile,Cocody
900439,1252,2025-06-01,Crédit,146021,Mobile,Bouaké
900440,1250,2025-06-01,Débit,601487,Web,Bouaké
900441,1244,2025-06-01,Débit,536297,Agence,Bouaké
900442,1135,2025-06-01,Crédit,624755,Web,Yopougon
900443,1146,2025-06-01,Crédit,69407,Agence,Plateau
900444,1066,2025-06-01,Crédit,370823,Agence,Yopougon
900445,1195,2025-06-01,Débit,453945,Mobile,Yopougon
900446,1211,2025-06-01,Crédit,64191,GAB,Cocody
900447,1121,2025-06-01,Crédit,626314,Agence,Plateau
900448,1157,2025-06-01,Débit,358993,GAB,Plateau
900449,1276,2025-06-01,Crédit,44193,Web,Bouaké
900450,1291,2025-06-01,Crédit,284570,Agence,Bouaké
900451,1012,2025-06-01,Crédit,401086,Web,Yopougon
900452,1294,2025-06-01,Débit,517081,Agence,Cocody
900453,1173,2025-06-01,Crédit,532191,Mobile,Cocody
900454,1154,2025-06-01,Crédit,462169,GAB,Bouaké
900455,1039,2025-06-01,Débit,306314,Mobile,Plateau
900456,1153,2025-06-01,Crédit,241858,Agence,Plateau
900457,1173,2025-06-01,Crédit,75537,Web,Bouaké
900458,1108,2025-06-01,Crédit,85385,Mobile,Yopougon
900459,1222,2025-06-01,Crédit,214795,Web,Bouaké
900460,1129,2025-06-01,Crédit,709181,GAB,Plateau
900461,1265,2025-06-01,Débit,609864,Web,Cocody
900462,1240,2025-06-01,Crédit,673914,Web,Plateau
900463,1268,2025-06-01,Débit,386969,Web,Cocody
900464,1124,2025-06-01,Débit,787692,Mobile,Bouaké
