ID_Credit,ID_Client,Montant,Duree,Taux,Mensualite,Statut_Credit,Retard_Paiement
7052,1285,3946403.0,24,6.47,202347,Défaut,5
7053,1286,2525862.0,24,8.53,383907,Clôturé,1
7054,1176,6209569.0,120,8.36,349178,Défaut,6
7055,1289,9257402.0,36,11.14,271452,Actif,8
7056,1120,2086278.0,12,7.67,77821,Défaut,0
7057,1063,3653806.0,36,10.25,134376,Clôturé,4
7058,1181,2756660.0,12,9.83,204738,Actif,8
7059,1215,842011.0,36,10.7,103729,Défaut,8
7060,1194,4063253.0,120,7.72,317870,Défaut,4
7061,1159,1088191.0,60,7.71,213920,Défaut,0
7062,1151,517520.0,36,6.42,282293,Actif,5
7063,1103,9470680.0,120,6.38,151448,Clôturé,7
7064,1164,3276712.0,12,6.31,141118,Défaut,8
7065,1113,2302424.0,60,5.28,196335,Défaut,4
7066,1247,2482154.0,24,9.09,183701,Actif,5
7067,1040,8123741.0,24,5.28,219151,Défaut,0
7068,1171,5352539.0,60,10.53,338442,Clôturé,1
7069,1086,5632789.0,120,6.54,146400,Défaut,1
7070,1244,8774848.0,24,7.91,331561,Clôturé,1
7071,1283,6162008.0,24,11.18,397778,Clôturé,5
7072,1018,6353183.0,36,6.53,374157,Défaut,7
7073,1112,9717633.0,12,5.8,231407,Clôturé,3
7074,1132,4390740.0,12,9.78,218263,Clôturé,1
7075,1043,6773923.0,36,8.78,198283,Actif,8
7076,1109,6590752.0,120,10.62,283600,Clôturé,0
7077,1293,5273336.0,24,7.24,93172,Actif,2
7078,1006,9325719.0,120,5.05,84326,Actif,3
7079,1090,7417053.0,12,6.44,278189,Défaut,1
7080,1039,2879573.0,12,8.21,223914,Actif,1
7081,1175,1528898.0,12,6.25,182072,Défaut,1
7082,1068,9946266.0,24,11.38,263716,Clôturé,7
7083,1257,7085511.0,60,7.21,254211,Défaut,1
7084,1108,9273031.0,12,9.49,374193,Actif,0
7085,1035,1517848.0,36,11.5,105645,Clôturé,4
7086,1182,1751316.0,36,10.36,279468,Clôturé,6
7087,1291,817059.0,60,6.09,165272,Actif,6
7088,1245,9455737.0,36,11.72,125537,Clôturé,5
7089,1198,487069.0,120,11.12,124120,Actif,0
7090,1280,384386.0,120,9.18,331622,Défaut,1
7091,1254,5411869.0,24,10.24,230277,Actif,6
7092,1020,8899207.0,24,6.13,165756,Défaut,4
7093,1015,3560252.0,12,6.27,347424,Actif,8
7094,1092,8038745.0,120,5.51,85317,Clôturé,1
7095,1297,3612117.0,120,8.41,223461,Clôturé,2
7096,1169,4234808.0,12,7.0,86599,Actif,5
7097,1045,8451398.0,60,7.3,395727,Clôturé,2
7098,1281,9788388.0,120,7.55,215849,Clôturé,2
7099,1239,381065.0,36,6.72,166143,Défaut,6
7100,1121,4941917.0,36,5.94,223834,Clôturé,7
7101,1260,7771866.0,36,10.42,305313,Défaut,1
7102,1042,3248933.0,120,5.57,197123,Actif,8
7103,1080,3595580.0,36,10.13,378528,Actif,1
7104,1284,612564.0,120,9.42,355078,Défaut,6
7105,1139,3869531.0,12,8.86,334934,Défaut,7
7106,1188,2793647.0,36,7.75,359120,Défaut,4
7107,1262,2546154.0,60,8.51,97476,Clôturé,5
7108,1118,8724968.0,12,9.64,371931,Défaut,2
7109,1100,8925782.0,24,8.12,143923,Défaut,2
7110,1009,8411841.0,36,5.28,305664,Actif,1
7111,1228,4735176.0,36,6.64,158409,Défaut,5
7112,1183,6811121.0,60,11.43,74346,Actif,5
7113,1133,2031828.0,120,9.43,193390,Défaut,4
7114,1032,9432678.0,120,6.22,392714,Clôturé,5
7115,1172,1605896.0,120,6.76,166863,Défaut,6
7116,1056,6220646.0,36,8.41,302764,Défaut,0
7117,1029,8719427.0,24,8.08,170581,Actif,8
7118,1237,5011201.0,24,6.05,132500,Clôturé,1
7119,1170,4164570.0,60,10.68,109422,Clôturé,7
7120,1049,8336641.0,24,9.14,389350,Clôturé,0
7121,1240,4388109.0,12,5.9,360560,Actif,2
7122,1160,8900719.0,12,11.24,126999,Actif,2
7123,1212,4632877.0,24,8.62,262575,Défaut,0
7124,1034,5055579.0,12,6.52,367994,Clôturé,7
7125,1094,3161635.0,24,10.81,365012,Actif,2
7126,1147,8869884.0,36,6.17,229658,Clôturé,1
7127,1036,4155635.0,60,7.7,106922,Actif,3
7128,1205,9069641.0,120,9.79,128413,Défaut,1
7129,1064,3276650.0,60,11.31,364475,Actif,8
7130,1224,8744462.0,12,5.65,395711,Actif,8
7131,1226,320136.0,60,8.65,244184,Actif,8
7132,1067,7496691.0,24,11.57,302771,Clôturé,5
7133,1155,9965703.0,12,7.98,183440,Clôturé,3
7134,1189,1706225.0,36,9.19,335071,Clôturé,4
7135,1248,3471246.0,12,9.96,53729,Défaut,8
7136,1259,2276835.0,120,5.05,393170,Actif,5
7137,1048,7159282.0,36,5.75,273384,Défaut,4
7138,1220,4683935.0,120,7.96,241702,Défaut,4
7139,1207,6968174.0,24,7.89,342323,Clôturé,2
7140,1041,6511142.0,120,8.88,183052,Clôturé,5
7141,1022,6979508.0,24,10.98,395654,Actif,3
7142,1102,7792618.0,24,5.7,316518,Clôturé,5
7143,1070,9537136.0,120,9.88,77290,Actif,6
7144,1054,388762.0,12,10.76,297290,Défaut,6
7145,1138,1778755.0,12,6.84,244424,Actif,0
7146,1025,6747920.0,60,9.3,323156,Clôturé,0
7147,1233,3240561.0,60,8.07,155752,Défaut,8
7148,1135,5098393.0,24,5.24,364318,Défaut,8
7149,1203,4186793.0,120,6.19,68906,Clôturé,3
7150,1117,304819.0,24,5.61,194670,Clôturé,5
7151,1299,6929401.0,60,9.1,321446,Actif,1
7152,1143,1812732.0,120,6.99,343136,Défaut,5
7153,1231,6129664.0,36,6.58,151987,Clôturé,6
7154,1158,9945334.0,12,6.83,263455,Défaut,1
7155,1275,9672268.0,12,8.52,228240,Actif,8
7156,1057,4623377.0,120,10.69,351409,Clôturé,7
7157,1062,6626357.0,120,8.39,177545,Clôturé,7
7158,1173,8029606.0,120,11.03,302691,Actif,4
7159,1174,1433372.0,60,9.44,165543,Défaut,3
7160,1085,5597082.0,60,11.69,320796,Défaut,0
7161,1178,4718274.0,24,7.01,259154,Défaut,5
7162,1115,1575551.0,120,11.52,299852,Clôturé,5
7163,1272,3966931.0,120,6.88,149702,Clôturé,3
7164,1251,4240319.0,24,11.11,158411,Actif,3
7165,1119,4489194.0,120,7.49,105935,Actif,1
7166,1202,8565544.0,120,5.05,333888,Actif,7
7167,1146,6527644.0,120,7.21,351213,Clôturé,7
7168,1295,3368080.0,120,6.96,166440,Défaut,2
7169,1261,1208455.0,120,10.59,300777,Défaut,0
7170,1055,8730135.0,36,7.76,141645,Clôturé,1
7171,1268,8994039.0,60,7.21,54413,Actif,3
7172,1180,6665745.0,120,5.71,239583,Défaut,4
7173,1195,3439896.0,120,6.84,191247,Clôturé,5
7174,1193,6439188.0,24,8.49,160379,Clôturé,5
7175,1099,6424992.0,60,6.96,144313,Défaut,2
7176,1213,9961876.0,24,10.7,191531,Actif,8
7177,1131,7551427.0,60,6.37,128406,Clôturé,0
7178,1098,3262978.0,60,8.5,380643,Défaut,8
7179,1271,5597024.0,60,7.1,344722,Défaut,0
7180,1083,6984074.0,12,9.83,81476,Actif,4
